Date : 2026-01-01 23:54:40
Directory : c:\Code\angular\pdx-map\src
Total : 182 files,  16046 codes, 562 comments, 2193 blanks, all 18801 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        131 |     12,787 |        507 |      1,812 |     15,106 |
| SCSS       |         26 |      2,297 |         35 |        351 |      2,683 |
| HTML       |         25 |        962 |         20 |         30 |      1,012 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Code\angular\pdx-map\src\app\saveana\ck3-save-view\ck3-save-view.component.ts     | TypeScript |         45 |          0 |          7 |         52 |
| c:\Code\angular\pdx-map\src\app\slab-map-view\ViewMode.ts                            | TypeScript |         72 |          0 |         14 |         86 |
| c:\Code\angular\pdx-map\src\app\slab-map-view\ViewModeProvider.ts                    | TypeScript |        121 |          0 |          9 |        130 |
| c:\Code\angular\pdx-map\src\app\slab-map-view\slab-map-view.component.html           | HTML       |          3 |          0 |          0 |          3 |
| c:\Code\angular\pdx-map\src\app\slab-map-view\slab-map-view.component.scss           | SCSS       |         13 |          0 |          0 |         13 |
| c:\Code\angular\pdx-map\src\app\slab-map-view\slab-map-view.component.ts             | TypeScript |         61 |          0 |         11 |         72 |
| c:\Code\angular\pdx-map\src\app\timer\timer.component.html                           | HTML       |         11 |          0 |          0 |         11 |
| c:\Code\angular\pdx-map\src\app\timer\timer.component.scss                           | SCSS       |         26 |          0 |          4 |         30 |
| c:\Code\angular\pdx-map\src\app\timer\timer.component.ts                             | TypeScript |         41 |          0 |          7 |         48 |
| c:\Code\angular\pdx-map\src\app\vic3-country-table\vic3-country-table.component.html | HTML       |         48 |          0 |          2 |         50 |
| c:\Code\angular\pdx-map\src\app\vic3-country-table\vic3-country-table.component.scss | SCSS       |        114 |          1 |         20 |        135 |
| c:\Code\angular\pdx-map\src\app\vic3-country-table\vic3-country-table.component.ts   | TypeScript |        192 |          0 |         25 |        217 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\BehaviorConfigProvider.ts     | TypeScript |         31 |          0 |          7 |         38 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\CameraMovementManager.ts      | TypeScript |        282 |         11 |         49 |        342 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\ColorConfigProvider.ts        | TypeScript |         65 |          2 |         15 |         82 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\DynamicColorConfig.ts         | TypeScript |         27 |          0 |          6 |         33 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\TooltipManager.ts             | TypeScript |         62 |          0 |         10 |         72 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\polygon-select.component.html | HTML       |         36 |         11 |          2 |         49 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\polygon-select.component.scss | SCSS       |        131 |          0 |         16 |        147 |
| c:\Code\angular\pdx-map\src\app\viewers\polygon-select\polygon-select.component.ts   | TypeScript |        455 |          2 |         53 |        510 |
| c:\Code\angular\pdx-map\src\index.html                                               | HTML       |         20 |          0 |          3 |         23 |
| c:\Code\angular\pdx-map\src\main.ts                                                  | TypeScript |         18 |          1 |          4 |         23 |
| c:\Code\angular\pdx-map\src\model\Ck3Save.ts                                         | TypeScript |        171 |          5 |         30 |        206 |
| c:\Code\angular\pdx-map\src\model\ParadoxSave.ts                                     | TypeScript |          3 |          0 |          2 |          5 |
